Idade,Gênero,Renda_Mensal,Nu_de_E-mails_Enviados,Num_de_E-mails_Abertos,Tempo_no_Site_(min),Valor_Gasto
59,1,4632,4,2,29,605.21
61,1,4058,2,2,10,410.79
41,1,2851,4,1,13,365.3
32,1,1931,7,4,52,545.73
49,1,3170,1,0,9,320.97
49,0,2280,9,8,7,411.72
41,1,3475,3,0,30,413.98
58,1,3243,4,4,5,400.35
69,0,2541,5,4,18,332.56
66,0,1694,3,2,54,511.87
66,0,4587,4,3,18,428.0
69,0,1772,5,5,11,316.89
29,1,2470,1,0,52,412.17
56,1,3572,9,9,38,660.59
19,1,3767,10,4,49,579.16
20,1,3346,10,1,57,606.67
66,0,2370,4,1,51,498.11
54,0,2488,9,3,17,404.09
66,1,2516,4,3,54,609.76
34,1,3051,1,1,2,296.21
66,1,4293,5,5,8,592.35
19,1,2804,9,0,58,493.97
19,0,3701,3,3,5,339.42
45,1,1442,5,2,0,256.08
40,0,2115,3,3,41,392.15
54,0,2280,3,1,39,361.22
49,0,2796,1,0,28,326.15
50,0,1644,2,0,54,508.73
18,1,2469,2,0,48,536.17
36,1,2678,9,1,34,440.47
19,1,2362,7,3,34,413.29
61,1,1470,8,4,29,469.32
43,0,4230,2,1,34,481.17
49,0,4561,9,9,38,661.04
23,0,4177,3,3,21,404.43
49,1,1713,10,3,42,480.43
21,0,4262,2,1,27,365.14
28,0,4356,1,1,17,321.54
34,0,3457,9,6,31,297.9
55,0,3571,8,8,4,450.26
41,1,4896,4,4,53,674.47
22,0,3335,7,2,59,505.73
69,0,1728,3,2,33,311.81
51,1,3300,3,1,30,444.99
23,1,2580,4,2,45,431.42
39,1,4127,2,2,32,474.61
28,0,2101,10,7,3,262.69
65,0,3293,4,4,13,405.76
33,0,3365,10,8,14,316.19
50,0,1429,3,1,59,411.56
26,1,4834,8,4,19,413.72
23,0,2590,2,1,19,371.03
33,0,2941,9,6,48,587.69
46,1,2189,3,3,34,408.84
20,1,1771,4,3,54,379.72
37,1,1743,10,8,3,312.55
53,0,3353,10,3,17,391.0
36,0,1939,3,2,23,319.8
43,0,3471,3,0,26,426.62
20,0,2510,8,2,32,368.09
36,0,1623,8,8,24,297.33
37,1,3126,6,6,4,375.0
49,1,4100,4,0,17,480.69
24,0,3742,1,1,44,428.9
69,0,4678,4,0,45,611.9
58,0,4239,8,4,19,435.31
50,0,2465,6,0,34,493.06
57,0,2444,2,0,54,439.86
56,1,2744,3,0,5,382.0
35,1,4928,7,7,26,482.86
57,1,2745,4,4,27,565.9
18,0,4136,4,2,10,255.72
28,0,4164,5,3,8,343.68
45,1,3885,8,5,51,557.79
42,1,3252,7,0,27,364.1
67,0,3207,9,1,18,439.24
40,1,3139,5,1,38,538.36
48,1,2002,1,0,53,523.07
47,0,3126,4,2,20,407.35
59,1,3550,6,0,30,547.74
52,1,1867,6,4,41,458.14
24,1,1855,9,2,6,170.8
33,0,1490,10,10,36,419.81
43,1,2910,5,4,24,412.64
65,1,2338,5,5,27,501.33
69,1,3562,6,6,35,628.5
66,0,2034,6,1,16,289.62
19,0,2891,3,1,25,352.76
18,1,4449,6,2,27,496.16
65,0,4797,8,7,36,656.02
29,1,4730,6,6,16,464.11
22,0,1645,5,2,59,480.25
54,0,3029,3,2,48,545.45
49,1,4103,1,1,16,475.16
26,1,3442,5,1,32,527.99
58,1,4718,6,3,55,723.29
52,0,4249,6,1,33,461.1
36,1,1798,6,6,56,496.38
65,0,4306,3,2,22,531.7
33,0,3046,4,3,29,411.17
20,1,1449,3,3,26,405.95
37,0,2596,2,2,50,372.32
41,1,2897,8,7,8,432.38
50,0,3379,7,5,19,400.89
41,1,2884,8,5,22,418.52
69,0,4600,6,2,46,579.76
28,0,1652,7,0,18,273.58
66,1,2461,1,1,36,525.73
25,0,3083,10,8,44,447.03
53,1,1973,5,0,3,277.9
55,0,3411,4,2,12,395.86
57,0,2217,10,8,37,498.75
37,0,3341,3,3,11,381.44
52,1,3757,2,2,8,387.35
65,1,2216,9,0,14,248.08
42,1,3613,8,6,20,483.99
52,1,4191,10,5,14,492.58
42,1,3087,2,2,48,563.91
46,0,3927,6,0,4,363.7
35,0,3508,3,1,4,177.78
63,1,3089,3,3,24,468.53
35,0,1457,5,3,23,241.72
19,0,4768,7,7,36,466.0
52,0,4239,7,7,52,642.34
33,0,3063,10,8,30,484.24
58,1,1493,1,0,45,480.7
53,0,4527,7,1,33,472.97
50,1,4414,7,2,40,583.43
21,1,3732,6,2,13,410.09
50,0,3853,6,0,26,456.81
31,1,3221,2,0,46,475.41
38,0,2201,3,0,3,170.18
65,0,2006,3,1,22,264.48
37,0,3517,3,0,57,513.38
25,1,4024,2,2,37,419.41
24,1,1412,9,9,45,586.95
20,1,3675,6,4,4,290.99
34,0,4800,2,0,26,493.45
50,0,4711,3,0,42,636.46
65,0,2908,10,2,52,566.21
29,1,4967,6,0,13,416.35
68,0,2177,4,0,6,208.73
39,0,2082,7,3,45,411.87
39,1,4770,6,3,44,696.7
63,1,3970,6,2,17,497.06
47,1,3013,3,0,31,451.07
55,0,2326,8,4,56,611.91
55,0,3256,9,9,1,402.61
62,0,3407,6,6,40,546.96
68,1,4941,2,2,42,673.86
25,1,1506,1,0,19,231.9
44,1,1904,3,1,28,355.15
44,1,4224,3,3,57,653.89
51,0,4481,8,6,42,623.92
38,0,1561,5,5,25,266.68
47,0,2458,1,1,37,415.71
50,0,4215,4,4,0,331.26
45,0,2650,7,3,4,227.45
64,0,1810,5,0,53,464.28
50,0,3869,10,6,56,517.38
22,0,3590,6,1,13,260.62
65,1,2266,10,9,24,448.33
36,1,3607,4,1,47,533.35
21,0,1792,2,0,8,57.61
52,1,4592,9,5,29,588.14
66,0,1963,2,2,18,385.62
34,0,4604,2,2,51,567.34
61,1,1706,2,0,39,477.24
45,0,2555,1,0,7,227.11
47,0,1867,3,3,15,214.62
46,0,2965,6,5,49,535.33
63,0,1580,7,1,7,284.02
23,0,2121,1,1,22,205.83
52,0,3358,5,4,8,328.64
58,0,3431,5,1,31,440.19
54,1,4626,1,1,36,721.87
41,1,3496,4,3,33,512.97
46,0,3133,10,7,52,483.37
66,1,2696,1,0,45,434.16
63,0,3690,1,1,17,442.02
48,0,1665,7,6,44,583.5
52,0,3788,7,6,43,554.35
50,0,2732,3,3,14,319.56
69,1,4439,7,4,52,731.49
38,1,3469,3,3,14,359.54
49,1,3905,2,0,28,356.04
40,1,4381,10,10,56,780.91
50,0,4295,4,4,22,434.09
20,1,4713,10,2,22,508.16
35,0,3537,3,0,0,208.8
42,0,4908,7,3,56,645.49
59,1,3652,1,0,21,498.34
48,0,1812,6,1,6,280.12
20,1,3568,2,1,44,510.05
57,1,4251,8,6,31,600.71
63,1,3358,5,1,27,519.89
41,1,3722,3,2,49,606.31
67,1,3788,10,7,31,533.84
49,0,1774,7,4,32,323.1
64,1,4861,2,1,42,535.6
39,1,4824,5,1,12,477.53
40,0,3718,8,5,51,551.11
19,1,2770,1,0,27,402.51
44,1,1496,1,1,8,282.99
59,0,2957,3,1,56,505.73
19,0,3236,3,3,47,458.79
43,1,1719,7,0,42,409.21
34,0,1673,6,1,2,141.19
57,1,3333,7,4,16,496.41
50,0,4256,4,0,33,603.34
26,1,2042,2,0,31,414.91
60,1,2091,2,1,8,323.2
65,1,2276,10,1,40,566.78
56,0,4935,1,1,47,689.4
46,1,4734,9,4,59,644.08
59,0,3783,7,1,0,378.39
43,1,4384,10,4,56,713.68
52,1,4712,3,2,48,709.01
67,1,3137,2,2,41,606.51
42,1,3263,3,0,19,380.76
41,1,4780,7,2,4,512.64
30,0,2138,5,3,39,408.88
24,0,2672,3,3,44,409.88
53,0,4437,9,8,20,533.15
62,1,3060,2,1,4,405.62
37,1,1628,7,7,3,295.14
18,0,2681,10,6,56,529.71
25,1,1859,6,0,7,232.37
63,1,1730,6,3,24,379.5
33,1,4453,7,3,54,597.56
31,0,4915,6,4,6,307.61
29,0,4887,2,0,36,558.25
68,0,3321,5,5,41,545.88
40,0,3496,3,3,31,268.42
32,0,4190,9,5,16,423.33
45,1,4825,8,0,27,535.04
51,1,4470,10,0,5,307.17
19,1,4872,2,0,41,494.98
49,1,2469,1,0,47,462.64
40,0,1450,4,4,53,420.39
39,0,3014,4,0,41,494.34
68,1,3668,10,10,35,636.96
42,0,2241,2,1,1,189.69
39,1,2267,7,4,30,487.47
39,1,4635,3,3,0,414.52
66,1,4358,7,0,2,322.85
69,1,4848,7,7,58,759.57
59,0,4682,1,1,12,438.2
23,1,4060,6,4,30,442.31
32,0,4219,4,3,28,546.43
60,1,3270,8,1,56,629.14
54,1,2514,8,2,43,481.03
50,1,2912,3,0,32,399.45
25,1,3893,4,4,52,641.03
61,0,3232,1,1,9,306.21
61,1,2253,10,10,37,588.65
22,0,3491,2,1,8,210.97
56,1,4570,7,4,0,434.01
21,1,3852,7,0,43,467.81
23,1,4727,9,5,36,546.58
62,0,2667,10,4,31,412.54
49,1,4369,9,7,32,647.73
69,1,3651,9,8,1,431.0
47,1,3351,6,5,45,579.38
64,1,1681,8,5,1,312.29
52,1,4197,9,9,58,824.46
57,0,3536,7,3,4,385.32
69,0,2146,4,2,9,349.83
33,1,2295,4,1,51,416.86
30,1,4650,6,3,37,524.68
67,0,3743,4,0,36,560.58
59,1,2524,7,6,1,300.65
47,0,4003,8,4,40,538.35
36,1,2060,8,3,41,406.74
34,1,2591,8,8,39,474.3
36,0,3709,2,2,24,481.49
45,1,3554,10,9,58,733.66
43,0,1428,2,0,37,391.56
54,0,1528,2,1,36,413.59
43,0,2394,2,1,52,468.74
40,1,3792,4,3,17,400.02
26,0,3258,5,0,26,324.8
29,0,2957,4,2,19,311.26
18,1,4563,5,0,49,647.96
18,1,4105,4,4,33,429.43
64,1,4915,7,3,43,641.07
51,1,4686,10,2,7,395.65
49,1,3575,1,0,3,394.58
65,1,2374,1,0,59,686.39
42,0,4703,2,0,29,479.59
57,1,2688,1,1,51,582.95
62,0,4652,10,4,54,671.17
18,1,2258,10,2,35,415.77
33,0,3775,3,0,8,333.41
56,0,4269,6,4,40,586.73
22,1,1783,10,7,11,333.09
39,1,4219,6,3,13,472.72
46,0,4336,1,0,34,389.89
20,1,4436,6,5,5,386.9
29,1,3018,5,1,46,514.16
43,0,1567,7,7,22,365.16
33,0,4073,6,2,50,531.11
68,0,4496,7,1,3,393.84
54,1,3967,2,2,0,340.35
39,1,1876,1,0,58,423.06
46,1,2194,7,0,8,340.86
31,1,2215,9,6,54,496.03
45,0,1631,2,2,57,468.53
22,1,3474,7,2,47,485.24
64,0,3185,3,2,54,656.6
66,1,1528,6,0,8,294.42
47,1,3790,3,0,43,532.98
63,0,3515,10,5,45,614.14
69,1,2786,5,1,14,515.12
22,1,4615,2,2,53,630.03
29,0,3430,8,8,23,405.63
33,1,4709,8,2,52,666.28
43,0,1719,7,6,47,388.32
43,0,4958,6,0,7,371.22
65,0,1633,1,1,27,456.35
38,0,2608,8,6,41,479.29
56,1,4823,1,0,45,633.54
53,1,2208,8,7,16,417.43
50,1,2941,2,0,34,447.28
47,0,4640,8,7,30,561.72
54,1,1562,10,5,3,339.86
40,1,3132,4,4,47,545.01
27,1,4661,7,7,13,347.51
22,1,2968,5,2,58,575.68
53,0,1523,8,7,24,478.81
51,0,2094,6,3,55,492.89
69,1,2573,5,0,45,468.09
48,0,4716,1,1,47,610.67
27,1,3791,3,2,39,595.74
36,1,2977,10,10,49,642.32
49,1,2304,9,0,6,379.44
18,0,2742,9,2,30,382.78
22,1,1572,5,2,59,522.94
62,0,2837,3,1,34,419.95
21,0,1689,6,4,37,365.72
33,1,4803,5,3,19,479.68
41,0,2968,1,0,15,302.21
33,0,4356,2,2,21,396.11
19,1,1908,5,2,35,389.68
66,0,4846,9,0,18,399.48
45,0,2807,4,2,1,295.94
49,1,3327,9,2,3,305.46
44,1,2066,3,3,57,543.79
37,0,4519,1,1,33,491.48
41,1,1714,6,4,6,241.34
29,1,1849,10,2,46,352.13
67,0,4185,7,5,48,614.1
52,0,4515,4,2,13,343.2
50,1,1597,10,4,42,515.47
50,0,4657,5,0,31,430.17
68,1,3001,4,3,16,520.31
60,1,2084,3,0,36,453.91
54,0,2685,1,1,54,525.21
29,0,2412,6,0,13,144.57
20,1,3738,10,6,16,424.14
18,1,2094,5,2,31,361.69
50,1,3130,1,0,59,536.55
57,1,4485,5,5,59,737.61
27,0,4677,6,2,51,542.95
60,1,4649,10,4,52,691.61
61,0,4470,5,3,1,381.79
46,0,2336,1,1,38,385.23
30,1,4593,5,0,3,366.97
29,0,3839,10,7,39,510.62
48,0,4294,1,0,29,479.34
63,1,2410,3,2,29,435.07
19,0,1696,2,2,32,249.55
68,0,1832,1,1,41,407.16
67,1,3572,4,0,0,434.73
52,1,4477,2,2,32,605.65
40,1,3687,5,2,35,570.02
34,1,2906,10,1,48,577.44
43,1,1939,1,1,30,369.63
25,1,3955,10,5,36,542.54
46,1,1442,1,1,13,292.89
43,0,1573,10,2,5,242.63
27,0,3253,4,0,6,232.19
43,1,2116,7,6,39,501.45
51,0,2133,2,2,23,347.26
68,0,2813,2,1,49,558.26
58,1,1857,1,1,59,596.64
24,0,4203,5,0,3,277.83
21,1,1838,6,1,54,470.1
67,0,3963,6,0,56,623.44
62,1,2962,2,2,24,544.43
28,0,3379,7,7,58,498.45
46,0,2132,6,3,2,190.12
53,0,4143,8,6,27,541.83
42,1,3213,6,6,22,478.14
38,0,4041,9,4,35,506.19
53,0,3376,10,4,56,628.17
27,1,2469,2,2,54,528.15
54,1,3456,7,5,47,587.84
26,0,2147,5,3,12,280.79
41,0,4150,1,0,21,395.54
52,0,2169,3,3,24,340.07
66,0,4973,4,1,54,695.17
52,1,3207,2,1,42,566.9
65,0,3055,7,4,23,448.49
53,0,2165,1,0,42,510.11
35,1,4906,3,2,36,631.64
66,0,4951,9,3,51,714.64
56,0,1435,2,2,32,492.07
49,0,2651,5,2,13,308.23
41,1,1466,4,3,23,327.06
40,1,4509,3,1,21,513.47
49,0,2716,5,3,51,506.17
54,0,4263,6,1,50,581.75
29,1,3786,1,0,36,428.0
66,0,2381,2,1,51,546.38
30,0,3645,1,1,58,468.7
40,1,3954,3,1,58,622.88
42,1,4495,8,7,22,537.98
52,1,1845,8,4,5,289.45
58,0,1619,4,4,18,239.09
47,0,1544,6,6,11,197.97
34,0,2774,9,3,25,324.39
66,0,2631,7,1,28,440.5
37,1,2697,2,1,58,573.3
65,0,2717,2,0,59,560.03
42,0,1780,3,3,13,223.77
39,1,4586,8,3,16,484.36
30,1,2618,10,5,29,345.95
36,0,3882,9,0,6,176.27
66,1,4492,3,1,20,504.45
53,1,3703,9,5,0,363.85
29,0,2193,10,1,48,468.31
58,0,4083,8,8,37,593.05
36,0,1978,5,5,3,318.44
29,0,4876,10,10,45,599.39
26,1,1938,3,0,7,258.24
24,1,1448,7,6,17,302.79
45,0,1589,9,1,51,503.54
31,0,2050,6,1,59,459.3
48,1,4311,3,3,44,654.27
69,0,1483,5,1,7,203.27
36,0,3811,7,1,30,401.79
64,0,4082,8,8,30,557.9
33,0,2584,4,2,27,413.37
22,1,3132,2,0,55,415.74
52,0,1516,10,3,47,428.17
29,1,3094,2,0,36,424.38
42,0,1632,3,0,2,71.75
69,0,3261,8,3,44,527.85
38,1,2274,1,1,14,242.67
53,0,4857,7,1,3,257.32
40,1,3977,6,4,34,525.73
33,0,4743,2,2,58,598.34
56,0,1710,9,2,33,370.25
62,0,4320,5,5,35,577.64
59,0,1453,2,0,56,426.68
56,0,2182,3,1,5,345.64
31,1,4356,7,5,3,393.14
48,1,3951,7,5,48,697.87
22,0,2874,10,7,29,318.71
52,0,4530,1,1,38,488.77
40,1,3544,10,8,17,506.52
46,1,3121,4,0,59,581.72
60,0,4541,6,1,21,408.39
28,0,2402,8,7,9,199.17
35,1,2122,3,0,48,502.76
64,0,1620,3,2,28,401.58
29,1,2683,8,2,22,384.32
26,0,2646,8,5,3,224.5
27,1,1450,8,7,58,480.85
61,1,2687,1,1,18,403.7
34,0,4385,8,1,25,356.48
55,1,3238,8,8,6,394.32
24,0,2173,2,0,12,279.71
63,0,2848,9,4,2,225.86
30,0,4405,7,0,39,509.13
57,0,2881,8,5,10,432.76
59,1,3511,2,0,15,459.36
26,0,1785,4,2,19,276.16
67,0,2342,7,2,50,497.92
44,0,1567,6,4,22,284.06
19,0,2977,7,6,22,244.44
22,1,2525,1,0,31,377.1
46,0,4138,8,3,40,508.79
54,1,3810,7,4,41,558.6
55,1,3528,4,1,54,615.4
36,1,4646,1,1,37,552.42
25,0,2677,8,7,2,232.07
65,0,4978,10,1,51,724.55
62,0,4866,7,0,7,438.83
18,0,4535,8,5,37,542.56
39,1,2065,10,10,56,606.08
69,1,1474,1,1,39,492.26
34,0,1920,5,3,13,214.21
24,0,3751,9,9,7,393.86
42,0,4574,5,2,10,372.48
62,0,3099,10,6,41,492.85
21,0,2859,3,3,57,498.81
53,0,3104,9,3,54,546.6
23,0,4280,9,9,41,671.15
48,1,2800,4,3,42,547.77
36,1,3609,4,2,32,561.44
61,1,2706,8,5,14,483.86
56,1,4340,7,4,36,600.89
44,0,3016,5,2,13,301.61
27,0,2551,6,2,54,384.54
43,0,2115,3,2,25,293.2
36,0,1927,6,1,56,491.49
56,0,3349,8,7,59,629.34
20,1,3245,10,5,51,576.04
62,0,2676,9,8,7,271.29
30,1,1441,3,2,48,464.73
67,0,4626,8,5,3,485.12
45,1,1737,3,1,35,323.06
37,0,4408,2,1,17,407.98
45,1,1427,5,4,26,448.53
25,0,1522,4,0,58,500.1
58,0,4331,5,0,18,397.38
56,0,4172,6,3,2,399.6
18,0,1518,3,1,8,233.39
20,1,3838,1,1,38,501.97
30,0,3621,4,2,1,330.3
45,1,1694,6,0,8,262.91
66,0,1680,2,0,55,510.72
42,1,3943,2,2,5,345.07
50,0,4126,1,0,37,483.07
55,0,4556,9,0,27,494.49
23,1,2632,3,2,47,447.77
61,0,2678,2,0,33,409.72
62,0,2009,4,1,28,412.49
49,1,2210,6,2,47,616.13
62,0,2694,1,0,2,166.23
64,1,4257,9,1,53,764.68
38,0,2584,9,3,15,297.21
33,1,3302,8,8,43,624.34
38,1,3849,6,2,34,566.5
28,1,3423,4,1,10,415.37
54,1,3875,2,0,42,525.35
53,0,1837,8,3,22,326.59
52,0,4456,7,6,29,529.12
36,1,3137,4,3,47,525.98
37,0,4700,3,0,4,394.94
35,0,4326,6,3,51,567.46
64,0,3545,1,0,7,259.32
58,1,2651,2,1,42,486.9
66,0,3882,7,4,42,497.18
31,0,4803,3,2,49,555.73
32,1,1529,1,0,50,474.08
48,0,4418,2,1,9,339.18
18,1,4341,10,3,27,447.9
20,1,4451,10,1,35,483.81
33,1,3874,9,8,59,691.74
40,0,2010,7,2,9,271.3
28,0,3499,7,5,13,386.31
29,1,2596,10,7,37,605.58
27,1,4162,8,8,36,578.27
49,1,3996,8,3,46,644.59
33,1,3879,9,0,4,250.57
25,1,2075,2,2,54,474.79
55,1,3554,8,6,55,659.18
29,0,4925,8,0,5,278.38
41,1,2993,5,2,29,419.85
45,1,4432,5,0,18,446.23
25,1,2061,4,4,51,472.82
45,0,2901,5,3,48,635.14
53,0,1699,2,2,13,301.56
43,0,3111,2,1,10,401.6
25,0,1823,5,3,45,470.78
67,1,3859,3,0,4,364.99
45,0,3987,1,0,44,511.23
45,1,2453,9,8,30,470.91
54,1,1547,2,0,43,442.26
58,1,3437,10,0,57,574.03
53,1,4947,2,2,31,556.27
44,1,2170,4,2,23,399.48
34,1,2683,2,2,50,538.81
26,0,4302,7,1,9,334.77
50,0,4169,10,0,12,365.47
37,0,2436,1,1,46,478.84
30,0,1792,2,1,51,401.75
45,0,3968,5,4,12,457.98
65,1,4943,2,2,35,529.77
46,0,2940,9,3,21,406.84
30,0,2217,4,3,8,265.27
63,0,1887,9,0,57,471.62
52,1,2365,1,0,18,344.49
23,1,2260,1,0,51,487.24
35,1,2308,1,1,53,556.2
68,0,1443,4,2,53,405.68
22,0,3339,9,3,6,302.36
64,0,3577,8,8,14,433.97
42,0,4667,7,7,16,523.61
19,0,1602,1,0,45,251.14
27,1,3182,3,1,13,460.36
47,0,3185,9,6,40,468.94
67,1,3533,9,7,47,737.15
62,0,2034,5,1,1,237.24
22,1,2538,6,3,13,274.97
50,1,4330,6,5,3,444.76
18,1,1997,10,6,2,307.31
35,1,3879,4,2,2,266.31
49,0,1884,1,1,10,287.28
64,0,3199,5,0,4,307.34
66,0,1525,1,0,47,472.1
28,1,2814,1,1,54,527.25
38,0,2748,5,2,28,344.81
43,0,3789,5,5,27,404.79
42,0,1750,7,6,22,375.13
